Timestamp;StimuliName;FixationDuration;MappedFixationPointX;MappedFixationPointY;user;description;aois
17520;03_Bordeaux_S1.jpg;316;1196;765;p24;color;Hotel_de_Ville-Place_du_Palais
17837;03_Bordeaux_S1.jpg;216;1159;755;p24;color;Origin
18053;03_Bordeaux_S1.jpg;183;1173;641;p24;color
18237;03_Bordeaux_S1.jpg;1432;1307;457;p24;color;Enghein-Quinconces
19669;03_Bordeaux_S1.jpg;183;1398;758;p24;color
19852;03_Bordeaux_S1.jpg;566;1418;841;p24;color;Porte_de_Bourgogne-Stalingrad
20419;03_Bordeaux_S1.jpg;250;1507;1014;p24;color;Destination
20668;03_Bordeaux_S1.jpg;200;1518;1071;p24;color;Destination
20868;03_Bordeaux_S1.jpg;183;1156;810;p24;color;Hotel_de_Ville-Place_du_Palais
21051;03_Bordeaux_S1.jpg;266;1141;774;p24;color;Hotel_de_Ville-Place_du_Palais
21318;03_Bordeaux_S1.jpg;283;1153;645;p24;color;Origin
21601;03_Bordeaux_S1.jpg;483;1131;783;p24;color;Hotel_de_Ville-Place_du_Palais
22084;03_Bordeaux_S1.jpg;150;1230;524;p24;color;Enghein-Quinconces
22234;03_Bordeaux_S1.jpg;633;1291;451;p24;color;Enghein-Quinconces
22983;03_Bordeaux_S1.jpg;200;1308;436;p24;color;Enghein-Quinconces
23183;03_Bordeaux_S1.jpg;366;1166;682;p24;color;Origin
23550;03_Bordeaux_S1.jpg;283;1127;704;p24;color;Origin
23966;03_Bordeaux_S1.jpg;133;1183;749;p24;color;Origin
24099;03_Bordeaux_S1.jpg;183;1129;1125;p24;color
24799;03_Bordeaux_S1.jpg;83;1252;800;p24;color;Hotel_de_Ville-Place_du_Palais
24882;03_Bordeaux_S1.jpg;250;1168;728;p24;color;Origin
368537;03_Bordeaux_S1.jpg;383;1119;737;p25;color;Origin
368920;03_Bordeaux_S1.jpg;400;1417;996;p25;color
369453;03_Bordeaux_S1.jpg;316;1376;790;p25;color
369769;03_Bordeaux_S1.jpg;233;1437;867;p25;color;Porte_de_Bourgogne-Stalingrad
370002;03_Bordeaux_S1.jpg;400;1405;830;p25;color;Porte_de_Bourgogne-Stalingrad
370402;03_Bordeaux_S1.jpg;283;1452;1041;p25;color;Destination
370685;03_Bordeaux_S1.jpg;300;1493;1089;p25;color;Destination
370985;03_Bordeaux_S1.jpg;366;1151;684;p25;color;Origin
371351;03_Bordeaux_S1.jpg;416;1124;742;p25;color;Origin
371768;03_Bordeaux_S1.jpg;433;1398;688;p25;color
372201;03_Bordeaux_S1.jpg;333;1397;802;p25;color;Porte_de_Bourgogne-Stalingrad
372684;03_Bordeaux_S1.jpg;200;1062;698;p25;color
372884;03_Bordeaux_S1.jpg;283;1056;763;p25;color
373167;03_Bordeaux_S1.jpg;366;1026;510;p25;color
373533;03_Bordeaux_S1.jpg;200;248;304;p25;color
373733;03_Bordeaux_S1.jpg;399;55;395;p25;color
39330;03_Bordeaux_S1.jpg;333;1143;658;p28;color;Origin
39663;03_Bordeaux_S1.jpg;183;1117;759;p28;color;Hotel_de_Ville-Place_du_Palais
39846;03_Bordeaux_S1.jpg;166;1182;1018;p28;color
40013;03_Bordeaux_S1.jpg;250;1466;1090;p28;color;Destination
40262;03_Bordeaux_S1.jpg;150;1306;1155;p28;color
40412;03_Bordeaux_S1.jpg;250;1300;689;p28;color
40662;03_Bordeaux_S1.jpg;250;1355;491;p28;color;Enghein-Quinconces
40912;03_Bordeaux_S1.jpg;683;1301;438;p28;color;Enghein-Quinconces
41595;03_Bordeaux_S1.jpg;2315;1339;422;p28;color;Enghein-Quinconces
43910;03_Bordeaux_S1.jpg;166;1411;522;p28;color;Enghein-Quinconces
44077;03_Bordeaux_S1.jpg;167;1454;776;p28;color;Porte_de_Bourgogne-Stalingrad
44243;03_Bordeaux_S1.jpg;250;1427;833;p28;color;Porte_de_Bourgogne-Stalingrad
44493;03_Bordeaux_S1.jpg;300;1484;980;p28;color
44793;03_Bordeaux_S1.jpg;266;1513;1022;p28;color;Destination
45059;03_Bordeaux_S1.jpg;183;1490;981;p28;color
45242;03_Bordeaux_S1.jpg;300;1441;888;p28;color;Porte_de_Bourgogne-Stalingrad
45542;03_Bordeaux_S1.jpg;233;1165;710;p28;color;Origin
45775;03_Bordeaux_S1.jpg;1249;1131;678;p28;color;Origin
47025;03_Bordeaux_S1.jpg;116;1082;677;p28;color
47141;03_Bordeaux_S1.jpg;1249;1081;605;p28;color
485410;03_Bordeaux_S1.jpg;100;1481;1028;p29;color;Destination
485727;03_Bordeaux_S1.jpg;83;1536;1039;p29;color;Destination
485810;03_Bordeaux_S1.jpg;200;1225;715;p29;color;Origin
486010;03_Bordeaux_S1.jpg;250;1169;693;p29;color;Origin
486260;03_Bordeaux_S1.jpg;350;1347;419;p29;color;Enghein-Quinconces
486610;03_Bordeaux_S1.jpg;250;1549;70;p29;color
486859;03_Bordeaux_S1.jpg;250;1174;987;p29;color
487109;03_Bordeaux_S1.jpg;266;1209;825;p29;color;Hotel_de_Ville-Place_du_Palais
487376;03_Bordeaux_S1.jpg;383;1449;867;p29;color;Porte_de_Bourgogne-Stalingrad
487759;03_Bordeaux_S1.jpg;650;1136;808;p29;color;Hotel_de_Ville-Place_du_Palais
488558;03_Bordeaux_S1.jpg;116;1098;810;p29;color;Hotel_de_Ville-Place_du_Palais
488675;03_Bordeaux_S1.jpg;216;1170;805;p29;color;Hotel_de_Ville-Place_du_Palais
488891;03_Bordeaux_S1.jpg;200;1052;809;p29;color
489091;03_Bordeaux_S1.jpg;266;1382;829;p29;color
489358;03_Bordeaux_S1.jpg;666;1433;856;p29;color;Porte_de_Bourgogne-Stalingrad
490274;03_Bordeaux_S1.jpg;83;1478;930;p29;color
490357;03_Bordeaux_S1.jpg;200;1476;990;p29;color;Destination
490557;03_Bordeaux_S1.jpg;250;1501;1017;p29;color;Destination
490807;03_Bordeaux_S1.jpg;250;1437;877;p29;color;Porte_de_Bourgogne-Stalingrad
491056;03_Bordeaux_S1.jpg;117;1418;796;p29;color;Porte_de_Bourgogne-Stalingrad
491173;03_Bordeaux_S1.jpg;233;1400;454;p29;color;Enghein-Quinconces
491406;03_Bordeaux_S1.jpg;183;1295;457;p29;color;Enghein-Quinconces
491589;03_Bordeaux_S1.jpg;250;1272;98;p29;color
491839;03_Bordeaux_S1.jpg;200;1310;76;p29;color
492039;03_Bordeaux_S1.jpg;300;1511;895;p29;color;Porte_de_Bourgogne-Stalingrad
492339;03_Bordeaux_S1.jpg;333;1532;974;p29;color
492672;03_Bordeaux_S1.jpg;266;1504;1040;p29;color;Destination
492938;03_Bordeaux_S1.jpg;233;1030;691;p29;color
493172;03_Bordeaux_S1.jpg;150;1079;686;p29;color
493322;03_Bordeaux_S1.jpg;183;1132;701;p29;color;Origin
493505;03_Bordeaux_S1.jpg;150;1036;815;p29;color
493655;03_Bordeaux_S1.jpg;233;1384;858;p29;color
494038;03_Bordeaux_S1.jpg;366;1398;875;p29;color;Porte_de_Bourgogne-Stalingrad
494404;03_Bordeaux_S1.jpg;400;1503;1000;p29;color;Destination
494804;03_Bordeaux_S1.jpg;200;1613;1033;p29;color;Destination
495004;03_Bordeaux_S1.jpg;200;1650;1030;p29;color
495204;03_Bordeaux_S1.jpg;200;1602;1168;p29;color
495553;03_Bordeaux_S1.jpg;233;977;1037;p29;color
495787;03_Bordeaux_S1.jpg;183;1318;1161;p29;color
495970;03_Bordeaux_S1.jpg;350;1109;1172;p29;color
496320;03_Bordeaux_S1.jpg;266;1135;694;p29;color;Origin
496586;03_Bordeaux_S1.jpg;266;888;835;p29;color
496852;03_Bordeaux_S1.jpg;316;1032;820;p29;color
497169;03_Bordeaux_S1.jpg;400;1181;730;p29;color;Origin
497569;03_Bordeaux_S1.jpg;550;1158;690;p29;color;Origin
